"iid","is_male","age","field_of_study","field_of_study_category","undergrad_sch","median_SAT_of_undergrad_sch","tuition_of_undergrad_sch","race","importance_of_race","importance_of_religion","from","median_income_of_zipcode","income","goal_of_participating","freq_of_going_on_dates","freq_of_going_out","intended_career","intended_career_category","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","expectation_of_happiness_of_matches","expected_num_of_people_interested_in_me_out_of_twenty"
385,FALSE,25,"Elementary Education","Education, Academia","University of Oregon","1,105.00","14,493.00","European/Causasian-American",5,8,"Oregon","91,011","78,704.00","To meet new people","Once a month","Once a week","Elementary Education Teaching","Academic/Research",7,5,8,10,10,10,10,6,8,9,6,10,10,8,10,9,8,7,NA
386,FALSE,26,"School Psychology","Social Science, Psychologist","Brown","1,400.00","27,395.00","European/Causasian-American",4,2,"New York","11,023","75,347.00","To meet new people","Almost never","Twice a week","School Psychologist","Psychologist",1,3,5,8,7,7,2,5,7,8,8,9,9,8,8,8,3,4,NA
387,FALSE,25,"School Psychology","Social Science, Psychologist","Holy Cross","1,258.00","25,020.00","European/Causasian-American",5,2,"New Jersey","7,069","","To meet new people","Almost never","Twice a week","School Psychologist","Psychologist",5,5,8,8,6,6,4,3,8,7,7,8,8,7,7,8,2,6,NA
388,FALSE,24,"Counseling Psychology","Social Science, Psychologist","Colgate University","1,365.00","27,025.00","European/Causasian-American",1,6,"San Francisco, CA","94,960","47,005.00","To meet new people","Twice a month","Twice a week","School Counseling","Psychologist",7,4,8,7,3,3,5,3,4,7,6,6,7,6,6,6,4,4,NA
389,FALSE,21,"Law","Law","Mary Baldwin College","1,030.00","15,990.00","European/Causasian-American",1,1,"Florida and Virginia","33,414","52,805.00","To meet new people","Once a week","Several times a week","attorney?","Lawyer",7,8,5,8,7,7,10,2,1,10,7,8,8,10,10,7,8,7,NA
390,FALSE,30,"Neuroscience and Education","Education, Academia","Columbia","1,430.00","26,908.00","Asian/Pacific Islander/Asian-American",1,10,"Hong Kong","0","","Other","Twice a month","Once a week","Academic","Academic/Research",6,1,6,10,6,6,8,1,4,10,6,8,8,8,8,4,6,6,NA
391,FALSE,28,"Creative Writing","English/Creative Writing/ Journalism","Brown","1,400.00","27,395.00","European/Causasian-American",1,5,"Maryland","20,852","50,725.00","Seemed like a fun night out","Twice a month","Several times a week","Writer","Creative Arts/Entertainment",8,1,6,8,6,7,9,1,9,9,1,3,5,5,5,4,2,4,NA
392,FALSE,26,"Creative Writing - Nonfiction","English/Creative Writing/ Journalism","Columbia","1,430.00","26,908.00","European/Causasian-American",6,1,"New York, NY","10,128","49,409.00","To say I did it","Twice a month","Once a week","Writer/teacher","Creative Arts/Entertainment",4,3,3,9,10,9,9,1,3,10,6,8,10,5,10,7,7,3,NA
393,FALSE,22,"Writing: Literary Nonfiction","English/Creative Writing/ Journalism","Smith College","1,260.00","24,742.00","European/Causasian-American",4,8,"Long Island","11,733","65,693.00","Seemed like a fun night out","Almost never","Several times a week","Writing or Editorial","Creative Arts/Entertainment",3,2,3,5,9,9,4,3,4,9,6,7,8,7,7,5,4,6,NA
394,FALSE,24,"Creative Writing (Nonfiction)","English/Creative Writing/ Journalism","Wesleyan University","1,380.00","27,100.00","European/Causasian-American",1,6,"San Francisco Bay Area","94,403","45,736.00","To meet new people","Twice a month","Twice a week","writer/editor","Creative Arts/Entertainment",3,1,4,9,8,8,10,1,1,10,6,9,9,8,7,7,2,6,NA
395,FALSE,33,"NonFiction Writing","English/Creative Writing/ Journalism","Penn State University","","14,388.00","European/Causasian-American",1,2,"Los Angeles","16,803","33,906.00","To get a date","Twice a month","Twice a week","writer/editor","Creative Arts/Entertainment",3,4,4,10,8,8,6,1,8,9,3,10,10,7,9,7,8,4,NA
396,FALSE,25,"Theatre Management & Producing","Fine Arts/Arts Administration","Occidental College","1,011.00","9,729.00","Asian/Pacific Islander/Asian-American",1,5,"Hawaii and Los Angeles","96,701","50,501.00","To meet new people","Almost never","Twice a week","producer at a non-profit regional theatre","Creative Arts/Entertainment",3,8,7,10,10,10,7,7,7,10,9,10,10,10,10,7,7,4,NA
397,TRUE,24,"Law","Law","George Washington University","","26,170.00","European/Causasian-American",3,2,"New Jersey","7,675","","To meet new people","Once a month","Twice a week","Lawyer","Lawyer",9,8,8,6,7,7,6,2,6,7,5,7,8,4,7,5,1,6,NA
398,TRUE,29,"Business (MBA)","Business/Econ/Finance","Cagliari - Italy","","","European/Causasian-American",7,2,"Italy","9,012","","To meet new people","Once a week","Several times a week","Consultin \ Management","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",4,1,2,10,7,7,9,9,8,7,7,7,9,6,5,6,2,8,NA
399,TRUE,29,"Business","Business/Econ/Finance","University of Wisconsin-Madison","","12,900.00","European/Causasian-American",1,1,"Chicago","60,611","48,785.00","To meet new people","Twice a month","Twice a week","Consulting","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",9,2,9,9,9,9,7,3,5,9,1,6,7,8,10,3,8,7,NA
400,TRUE,26,"Business","Business/Econ/Finance","Bocconi University Milan","","","European/Causasian-American",7,7,"Italy","80,136","","To say I did it","Twice a month","Twice a week","Entrepreneur","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,4,7,7,6,6,6,1,8,7,1,7,7,6,7,1,1,3,NA
401,TRUE,31,"Business","Business/Econ/Finance","University of Karlsruhe/Germany","","","European/Causasian-American",1,1,"Germany","10,025","","To meet new people","Twice a month","Several times a week","Consulting","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,1,4,8,8,8,8,2,5,5,1,8,8,10,10,7,3,9,NA
402,TRUE,29,"Mathematics","Math","University of Illinois/Champaign","","13,046.00","Asian/Pacific Islander/Asian-American",1,1,"Korea","","","To get a date","Twice a month","Twice a week","Financial Mathematics-Investment Bank or Hedge Fund-Derivatives Quant Analyst","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,2,6,9,6,6,9,7,4,3,3,5,8,4,4,6,9,6,NA
403,TRUE,22,"Financial Engineering","Engineering","Supaero (France)","","","European/Causasian-American",6,6,"Paris","78,100","","To say I did it","Once a month","Once a week","Work in an investment bank","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",9,8,3,7,4,3,5,3,3,5,6,5,8,3,6,2,1,6,NA
404,TRUE,23,"Financial Engineering","Engineering","Ecole Polytechnique (France)","","","European/Causasian-American",1,4,"France","78,230","","To meet new people","Once a month","Twice a week","Investment Banking","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,5,8,10,8,8,9,7,9,8,4,5,8,7,8,6,3,7,NA
405,TRUE,30,"International Affairs","Political Science/International Affairs","University of Vermont","1,130.00","20,100.00","Black/African American",1,1,"New York City","10,021","55,080.00","Looking for a serious relationship","Once a month","Once a month","Diplomat / Int'l civil servant","International/Humanitarian Affairs",6,1,6,9,8,9,2,6,8,8,6,10,9,7,9,9,5,6,NA
406,TRUE,27,"Business","Business/Econ/Finance","Univ. of Bombay","","","Asian/Pacific Islander/Asian-American",1,1,"Minneapolis","400,051","","Seemed like a fun night out","Several times a year","Twice a week","Finance","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",4,6,8,9,6,7,8,6,6,7,7,8,9,7,10,2,1,6,NA
407,TRUE,24,"Film","Film","Georgetown University","1,400.00","25,425.00","European/Causasian-American",1,1,"New Jersey","7,901","","To get a date","Twice a month","Twice a week","Screenwriter","Creative Arts/Entertainment",8,4,7,9,9,9,7,4,2,9,5,7,10,9,9,7,7,5,NA
408,TRUE,24,"International Affairs","Political Science/International Affairs","GW","","26,170.00","Latino/Hispanic American",1,1,"NYC","0","","To meet new people","Almost never","Several times a week","Diplomat/Business","International/Humanitarian Affairs",7,7,9,8,9,8,3,5,1,6,2,4,8,6,10,2,1,6,NA
409,TRUE,23,"biomedical engineering","Engineering","ecole polytechnique","","","European/Causasian-American",5,5,"france","","","To meet new people","Several times a year","Once a week","research - teaching","Academic/Research",10,4,1,4,7,8,10,2,8,7,2,6,8,10,10,5,2,7,NA
410,TRUE,27,"Business","Business/Econ/Finance","Cornell University","1,360.00","26,062.00","European/Causasian-American",8,8,"Austin, TX","10,021","55,080.00","Seemed like a fun night out","Once a month","Several times a week","business","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,8,5,8,1,1,8,10,1,8,2,2,4,4,5,1,1,5,NA
411,TRUE,34,"Finance","Business/Econ/Finance","The American University","1,206.00","22,481.00","European/Causasian-American",8,2,"Washington DC","20,817","80,006.00","To get a date","Twice a month","Several times a week","M&A Advisory","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,6,6,7,7,6,3,3,1,8,1,7,6,7,10,8,3,3,NA
412,TRUE,27,"business","Business/Econ/Finance","","","","European/Causasian-American",1,1,"New Jersey","7,032","","Seemed like a fun night out","Once a month","Twice a week","millionaire","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,10,10,5,8,8,0,7,3,8,6,5,5,8,8,4,4,4,NA
413,TRUE,26,"business","Business/Econ/Finance","Harvard","1,400.00","26,019.00","European/Causasian-American",5,3,"Woburn, MA","1,801","","Seemed like a fun night out",NA,"Twice a week","Real Estate","Real Estate",6,7,5,7,5,3,5,5,4,6,8,6,9,6,6,7,0,8,NA
414,TRUE,29,"business","Business/Econ/Finance","Princeton","1,460.00","27,230.00","European/Causasian-American",2,10,"New Jersey","10,021","55,080.00","Other","Several times a week","Several times a week","business","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5,NA
415,TRUE,31,"MBA","Business/Econ/Finance","GA Tech","1,331.00","12,350.00","European/Causasian-American",3,1,"Atlanta, GA","30,066","52,318.00","Seemed like a fun night out","Twice a month","Twice a week","Trader","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",1,1,6,6,7,5,1,1,3,10,1,6,6,3,7,1,1,4,NA
416,FALSE,25,"Psychology","Social Science, Psychologist","Harvard","1,400.00","26,019.00","Latino/Hispanic American",3,3,"Miami","33,156","62,844.00","Other","Twice a month","Several times a week","Clinical Psychologist","Psychologist",4,1,8,8,7,6,6,1,8,7,8,5,7,5,10,4,3,3,NA
417,FALSE,29,"Psychology","Social Science, Psychologist","University of Heidelberg","","","European/Causasian-American",1,1,"Greece/Germany","","","Seemed like a fun night out","Once a month","Once a week","Clinical Psychologist","Psychologist",6,1,4,5,8,8,8,3,5,7,2,6,7,7,6,3,8,5,NA
418,FALSE,25,"Law","Law","Cornell University","1,360.00","26,062.00","Asian/Pacific Islander/Asian-American",7,3,"New York","11,040","52,586.00","Other","Almost never","Twice a week","Lawyer","Lawyer",2,2,5,9,7,8,6,5,6,10,8,8,10,7,9,7,7,5,NA
419,FALSE,28,"Social Work","Social Work","Bennington College","1,191.00","25,000.00","European/Causasian-American",0,1,"Colorado","80,220","29,236.00","Looking for a serious relationship","Twice a week","Several times a week","Social Work Policy","Social Work",6,2,5,8,5,6,5,2,9,9,8,9,9,6,6,4,7,5,NA
420,FALSE,22,"Social Work","Social Work","Notre Dame","1,360.00","24,497.00","European/Causasian-American",1,1,"Indiana","47,920","31,486.00","To say I did it","Twice a month","Twice a week","Social Worker","Social Work",8,4,5,10,8,8,7,4,3,9,7,8,7,4,5,6,4,5,NA
421,FALSE,25,"Social Work","Social Work","CSUN","914.00","9,790.00","Asian/Pacific Islander/Asian-American",5,5,"California","91,011","78,704.00","Seemed like a fun night out","Twice a month","Once a week","Social Worker","Social Work",1,1,1,8,5,5,1,5,5,5,8,10,10,5,10,10,5,7,NA
422,TRUE,26,"Fundraising Management","Business/Econ/Finance","Yeshiva University","","14,600.00","European/Causasian-American",6,7,"Florida","33,021","31,632.00","To meet new people","Twice a month","Twice a week","Fundraising for Non-Profits","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,2,8,9,9,9,10,2,4,7,5,9,8,6,6,7,9,8,NA
423,TRUE,30,"Business","Business/Econ/Finance","Yale","1,450.00","26,100.00","European/Causasian-American",1,1,"Canada","","","To meet new people","Twice a month","Several times a week","Money Management","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",9,2,9,8,7,7,7,6,5,9,5,5,8,7,5,5,4,6,NA
424,TRUE,24,"Biomedical Engineering","Engineering","Bombay, India","","","Asian/Pacific Islander/Asian-American",4,4,"TN","0","","To meet new people","Several times a year","Once a week","Research","Academic/Research",7,7,7,7,5,5,6,7,5,5,7,5,8,5,7,8,5,6,NA
425,TRUE,28,"Business (Finance & Marketing)","Business/Econ/Finance","Cornell University","1,360.00","26,062.00","European/Causasian-American",3,7,"New York, NY","20,854","106,663.00","To meet new people","Twice a month","Twice a week","General Management","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,8,8,8,7,6,5,2,7,5,5,6,7,5,7,2,2,6,NA
426,TRUE,24,"MBA","Business/Econ/Finance","John Hopkins","1,410.00","26,720.00","European/Causasian-American",4,7,"New Jersey","7,410","","To meet new people","Twice a week","Several times a week","Lobbyist","Politics",7,2,7,8,6,4,3,2,6,5,3,7,6,6,6,4,2,7,NA
427,TRUE,28,"International Affairs","Political Science/International Affairs","UCSB","1,200.00","14,915.00","European/Causasian-American",1,1,"California","90,272","84,043.00","Seemed like a fun night out","Almost never","Once a week","Energy","Other",10,1,10,8,7,7,9,1,3,8,1,4,5,7,10,1,10,6,NA
428,TRUE,27,"MBA","Business/Econ/Finance","University of Chicago","","26,775.00","Asian/Pacific Islander/Asian-American",8,8,"New York","11,432","35,224.00","To get a date","Twice a week","Several times a week","Management Consulting","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",6,5,5,9,6,7,6,5,6,7,5,6,7,5,7,7,3,8,NA
429,TRUE,27,"Business","Business/Econ/Finance","Duquesne University","1,080.00","17,478.00","European/Causasian-American",1,1,"Pittsburgh, PA","15,146","36,381.00","To meet new people","Twice a week","Twice a week","Investment Management","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,8,8,9,8,8,8,6,7,9,8,8,8,8,8,7,6,7,NA
430,FALSE,22,"Elementary Education - Preservice","Education, Academia","UC Irvine","","15,260.00","Asian/Pacific Islander/Asian-American",3,10,"California","94,539","65,498.00","Seemed like a fun night out","Several times a year","Twice a week","Elementary school teacher","Academic/Research",10,10,10,6,3,2,4,2,4,4,8,9,9,8,8,5,4,5,NA
431,FALSE,27,"Education Leadership - Public School Administration","Education, Academia","Cal State Univ., Long Beach","","8,100.00","Asian/Pacific Islander/Asian-American",5,8,"Southern California","92,843","","To meet new people","Almost never","Once a week","Public School Principal","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,9,7,10,10,10,10,5,4,10,7,7,5,8,10,10,3,7,NA
432,FALSE,28,"Social Work","Social Work","Oberlin College","1,340.00","26,580.00","European/Causasian-American",1,1,"Hastings-on-Hudson, NY","10,706","60,000.00","Looking for a serious relationship","Several times a year","Once a week","Social Worker","Social Work",2,2,2,10,10,10,7,1,6,6,4,9,8,8,7,5,5,4,NA
433,FALSE,30,"MFA Writing","Fine Arts/Arts Administration","Saint Mary's College of California","1,090.00","19,525.00","Other",3,3,"Northern California","93,257","22,669.00","To meet new people","Several times a year","Once a week","Writer","Creative Arts/Entertainment",3,3,8,8,8,8,8,1,6,7,5,7,8,5,5,5,3,5,NA
434,FALSE,27,"International Affairs","Social Work","Bucknell University","1,290.00","25,335.00","European/Causasian-American",2,2,"Maryland","20,816","81,266.00","Seemed like a fun night out","Twice a month","Twice a week","Trade Specialist","Other",4,2,9,6,3,3,3,2,7,2,6,2,2,4,7,8,4,3,NA
435,FALSE,22,"Law","Law","Rutgers University - New Brunswick","1,188.00","11,311.00","Black/African American",1,1,"New Jersey","7,726","","Seemed like a fun night out","Almost never","Twice a week","Lawyer","Lawyer",5,5,6,9,8,8,3,2,9,9,1,8,7,9,9,10,10,5,NA
436,FALSE,23,"Law","Law","UC Irvine","","15,260.00","European/Causasian-American",9,1,"California","92,869","","Seemed like a fun night out","Several times a year","Several times a week","Law","Lawyer",8,5,9,10,8,7,8,5,1,9,10,8,10,6,10,10,4,5,NA
437,FALSE,23,"Social Work","Social Work","University of Tennessee","1,092.00","11,570.00","European/Causasian-American",2,6,"North Carolina","28,804","29,746.00","Seemed like a fun night out","Twice a month","Several times a week","Social Work","Social Work",6,7,7,8,9,9,8,5,6,9,7,10,10,10,10,5,6,5,NA
438,FALSE,23,"Social Work","Social Work","UCLA","1,290.00","15,309.00","European/Causasian-American",1,5,"California","94,044","47,556.00","Seemed like a fun night out","Twice a month","Several times a week","Clinical Social Worker","Social Work",3,1,8,9,5,5,8,4,7,6,5,7,9,10,9,8,3,4,NA
439,FALSE,29,"Bilingual Education","Education, Academia","Washington University in St. Louis","","26,377.00","European/Causasian-American",1,5,"Baltimore","21,209","42,651.00","To meet new people","Once a week","Twice a week","Bilingual Elementary School Teacher","Academic/Research",8,4,8,9,8,9,6,1,7,9,6,4,9,9,9,6,6,7,NA
440,TRUE,21,"Law","Law","Stanford University","1,450.00","25,917.00","European/Causasian-American",8,2,"Milano, Italy","20,129","","Seemed like a fun night out","Almost never","Twice a week","Lawyer","Lawyer",10,10,10,10,7,7,7,3,1,3,5,5,10,8,10,8,5,7,NA
441,TRUE,24,"Law","Law","Tufts University","","26,892.00","European/Causasian-American",4,2,"Boston","6,437","","To meet new people","Almost never","Several times a week","Corporate law","Lawyer",6,1,6,7,7,8,7,14,9,9,8,9,10,10,10,7,2,7,NA
442,TRUE,25,"law","Law","warsaw university","","","European/Causasian-American",1,1,"poland","108","","Looking for a serious relationship","Several times a year","Several times a week","tax lawyer","Lawyer",7,1,7,5,1,1,7,1,8,6,1,1,5,3,5,2,1,6,NA
443,TRUE,27,"International Affairs - Economic Policy","Political Science/International Affairs","Univeristy of Michigan","1,290.00","21,645.00","Latino/Hispanic American",1,3,"New York","17,403","27,794.00","To meet new people","Several times a year","Twice a week","Economic Policy Advisor on Latin America","International/Humanitarian Affairs",9,5,7,8,5,5,5,3,7,6,1,6,7,8,8,4,5,7,NA
444,TRUE,26,"MBA","Business/Econ/Finance","Middlebury College","1,470.00","34,300.00","European/Causasian-American",5,1,"Los Angeles, CA","10,016","41,737.00","To meet new people","Twice a month","Twice a week","Media Management","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",8,8,9,2,6,8,6,2,5,2,7,1,10,3,5,5,6,3,NA
445,TRUE,30,"SIPA - Energy","Political Science/International Affairs","U of Vermont","1,130.00","20,100.00","European/Causasian-American",1,1,"Burlington, Vermont","11,576","90,225.00","To meet new people","Once a month","Twice a week","Energy Management","International/Humanitarian Affairs",9,6,8,8,5,3,9,5,9,10,5,4,10,8,9,5,1,5,NA
446,TRUE,28,"MBA","Business/Econ/Finance","Universidad de los Andes","","","Latino/Hispanic American",2,2,"Bogota, Colombia","0","","Seemed like a fun night out","Twice a month","Once a week","Finance","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",9,2,9,8,8,7,6,3,6,6,5,6,6,5,8,3,3,7,NA
447,TRUE,26,"Public Policy","Political Science/International Affairs","University of Delhi","","","Asian/Pacific Islander/Asian-American",1,1,"India","110,003","","Seemed like a fun night out","Almost never","Twice a week","Public Finance","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",7,5,6,8,3,2,6,2,5,6,3,4,8,4,9,2,4,3,NA
448,TRUE,22,"Law/Business","Law","Yale","1,450.00","26,100.00","European/Causasian-American",1,1,"New York City","10,021","55,080.00","Seemed like a fun night out","Twice a week","Several times a week","Business Management","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",3,2,4,9,8,9,3,5,9,7,3,6,7,6,10,6,5,3,NA
449,TRUE,23,"Law","Law","Princeton","1,460.00","27,230.00","Other",7,1,"New York","11,552","52,280.00","Seemed like a fun night out","Once a week","Several times a week","Business/Law","Lawyer",8,2,6,8,7,5,5,3,1,9,7,6,9,2,6,4,1,5,NA
450,TRUE,25,"International Affairs","Political Science/International Affairs","Connecticut College","1,310.00","33,585.00","European/Causasian-American",3,7,"Singapore","","","To meet new people","Several times a year","Twice a week","Diplomat","International/Humanitarian Affairs",7,3,9,9,9,9,9,9,3,5,7,9,10,9,10,5,10,3,NA
451,TRUE,30,"MBA","Business/Econ/Finance","NUS","","","Asian/Pacific Islander/Asian-American",3,1,"Asia, Singapore","650,206","","To meet new people","Once a week","Once a week","banking","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",3,3,2,4,4,3,3,4,3,6,7,5,7,7,8,6,6,3,NA
452,TRUE,29,"MBA","Business/Econ/Finance","National University of Singapore","","","Asian/Pacific Islander/Asian-American",7,1,"Singapore","10,027","","Seemed like a fun night out","Once a month","Once a week","private equity","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",9,6,8,7,8,7,8,7,9,8,7,8,9,8,10,5,3,7,NA
453,TRUE,27,"law","Law","University of International Business  & Economics","","","Asian/Pacific Islander/Asian-American",4,3,"Shanghai, China","210,009","","To meet new people","Several times a year","Once a month","lawyer","Lawyer",6,3,5,6,6,5,6,5,3,6,6,4,7,6,5,4,1,6,NA
454,FALSE,27,"MFA  Poetry","Fine Arts/Arts Administration","Sarah Lawrence College","1,260.00","27,982.00","European/Causasian-American",3,3,"California","94,941","56,056.00","To meet new people","Almost never","Once a week","Teacher","Academic/Research",5,8,5,9,9,9,7,1,4,9,4,9,9,8,8,4,9,5,NA
455,FALSE,24,"Biomedical Engineering","Biological Sciences/Chemistry/Physics","University of Rochester","","24,794.00","Asian/Pacific Islander/Asian-American",5,5,"India","560,032","","Seemed like a fun night out","Several times a year","Twice a week","Research","Academic/Research",3,5,3,10,10,7,7,1,8,10,4,8,9,8,9,9,7,4,NA
456,FALSE,29,"Business","Business/Econ/Finance","Rutgers College","1,188.00","11,311.00","Asian/Pacific Islander/Asian-American",3,2,"NJ","7,030","","To meet new people","Several times a year","Several times a week","Health care finance","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",1,1,8,8,7,7,6,2,8,8,4,7,7,6,6,8,8,2,NA
457,FALSE,55,"SOA -- writing","English/Creative Writing/ Journalism","University of California at Santa Barbara","1,200.00","14,915.00","Asian/Pacific Islander/Asian-American",1,1,"Santa Barbara, California","93,108","60,835.00","Other","Almost never","Once a week","writer","Creative Arts/Entertainment",1,2,1,8,9,9,10,1,1,10,4,7,3,10,8,1,1,10,NA
458,FALSE,29,"Business","Business/Econ/Finance","UC Berkeley","1,309.00","15,162.00","Asian/Pacific Islander/Asian-American",9,8,"Hong Kong","0","","Seemed like a fun night out","Twice a month","Several times a week","Entrepreneurship","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",9,1,6,10,8,6,9,3,6,9,7,8,8,4,1,10,9,5,NA
459,FALSE,26,"Finance","Business/Econ/Finance","Yale","1,450.00","26,100.00","Asian/Pacific Islander/Asian-American",6,1,"New York City","20,853","62,829.00","Seemed like a fun night out","Once a month","Once a week","Fixed Income Sales & Trading","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",1,3,1,9,8,9,1,1,6,4,6,8,8,8,8,8,1,5,NA
460,TRUE,33,"History","History/Religion/Philosophy","Rice University","","17,125.00","European/Causasian-American",2,1,"Cincinnati, Ohio","45,213","30,038.00","Seemed like a fun night out","Twice a month","Twice a week","Professor","Academic/Research",9,7,10,10,10,10,8,1,7,9,10,6,9,10,10,1,5,8,NA
461,TRUE,27,"biomedical informatics","Engineering","medicine","","","Other",2,2,"india","248,001","","Seemed like a fun night out","Almost never","Twice a month","physician, informaticist","Doctor/Medicine",9,8,9,9,7,7,9,8,6,2,2,7,6,6,6,4,4,7,NA
462,TRUE,33,"Electrical Engineering","Engineering","China","","","Asian/Pacific Islander/Asian-American",1,5,"Cambridge, MA","","","Looking for a serious relationship","Several times a year","Several times a year","Professor, or Engineer","Academic/Research",8,7,5,2,6,6,1,2,7,3,8,5,7,6,9,2,2,8,NA
463,TRUE,23,"physics","Biological Sciences/Chemistry/Physics","Fudan","","","Asian/Pacific Islander/Asian-American",3,2,"China","200,000","","To meet new people","Almost never","Several times a week","Not sure yet","Undecided",5,4,7,5,4,3,3,5,4,5,4,4,4,4,7,3,1,5,NA
464,TRUE,33,"MBA","Business/Econ/Finance","National University Of Singapore","","","Asian/Pacific Islander/Asian-American",1,1,"Singapore","597,627","","Seemed like a fun night out","Once a week","Several times a week","Management Consulting","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",10,9,6,7,3,3,5,5,9,3,4,6,7,7,7,2,1,5,NA
465,TRUE,23,"art history","History/Religion/Philosophy","oberlin","1,340.00","26,580.00","European/Causasian-American",1,3,"new york","10,027","16,767.00","Other","Almost never","Once a week","playing music","Creative Arts/Entertainment",4,8,1,3,8,8,4,1,4,9,2,1,3,10,10,1,1,4,NA
466,FALSE,24,"working","Other","Barnard College","1,330.00","2,406.00","European/Causasian-American",1,1,"Texas/London","77,077","42,967.00","Other","Almost never","Several times a week","unknown","Undecided",4,2,9,8,5,6,4,3,2,8,5,5,7,6,8,4,2,5,NA
467,FALSE,24,"Consulting","Business/Econ/Finance","Columbia College, CU","1,430.00","26,908.00","European/Causasian-American",7,4,"CT, FL, TN","10,006","21,488.00","Other","Twice a week","Several times a week","Consulting, later Arts or Non-Profit","Banking/Consulting/Finance/Marketing/Business/CEO/Entrepreneur/Admin",8,4,9,9,9,9,8,5,8,9,8,9,9,9,9,9,9,7,NA
468,FALSE,25,"Human Rights: Middle East","Political Science/International Affairs","University of Michigan","1,290.00","21,645.00","Other",5,2,"Detroit suburbs","48,302","89,977.00","Seemed like a fun night out","Several times a year","Once a week","Professor; Human Rights Director","Academic/Research",8,3,7,7,7,8,8,2,6,8,7,5,9,9,9,7,6,4,NA
469,FALSE,25,"Human Rights","Political Science/International Affairs","Tufts University","","26,892.00","Asian/Pacific Islander/Asian-American",1,1,"Tokyo, Japan","2,155","","To meet new people","Once a week","Several times a week","Work at the UN","International/Humanitarian Affairs",10,7,7,7,7,7,3,3,4,7,9,7,7,7,8,6,9,4,NA
470,FALSE,29,"medicine","Medical Science, Pharmaceuticals, and Bio Tech","harvard","1,400.00","26,019.00","Asian/Pacific Islander/Asian-American",1,1,"south carolina","29,571","18,619.00","Seemed like a fun night out","Twice a month","Twice a week","medicine","Doctor/Medicine",1,1,1,10,10,10,2,1,3,10,5,10,10,6,6,10,1,4,NA
471,FALSE,30,"medicine","Medical Science, Pharmaceuticals, and Bio Tech","Stanford University","1,450.00","25,917.00","Asian/Pacific Islander/Asian-American",8,8,"California, New Jersey","8,091","","To meet new people","Once a month","Once a week","physician","Doctor/Medicine",3,4,6,10,7,7,5,2,9,7,8,6,8,6,6,10,4,5,NA
472,FALSE,25,"Urban Planning","Engineering","UCLA","1,290.00","15,309.00","Latino/Hispanic American",1,3,"California","92,879","","To meet new people","Twice a month","Twice a week","Urban Planner","Engineer",10,6,7,9,9,8,9,1,7,8,1,10,10,10,10,5,9,4,NA
473,FALSE,34,"Biotechnology","Biological Sciences/Chemistry/Physics","Harbin Medical University, China","","","Asian/Pacific Islander/Asian-American",1,1,"Belgium","10,086","","To meet new people","Several times a year","Twice a month","Clinic Trial","Academic/Research",7,5,5,8,8,8,8,6,6,9,8,8,9,9,9,7,7,7,NA
